year,domestic_space,domestic_water,services_space,services_water,hdd
2008,10.2577,2.6168,3.7681,0.6280,0.0
2009,10.8857,2.8261,3.5588,0.5233,0.0
2010,9.6296,2.6168,3.8728,0.5233,0.0
2011,9.3156,2.5121,3.3494,0.5233,0.0
2012,9.6296,2.6168,3.8728,0.5233,0.0
2013,8.7923,2.4074,3.6635,0.5233,0.0
