year,domestic_space,domestic_water,services_space,services_water,hdd
2008,3.4541,0.5233,3.0354,0.2093,0.0
2009,3.6635,0.4187,2.5121,0.2093,0.0
2010,4.0821,0.5233,3.0354,0.2093,0.0
2011,3.5588,0.5233,2.5121,0.2093,0.0
2012,3.5588,0.6280,2.6168,0.2093,0.0
2013,3.7681,0.6280,2.8261,0.2093,0.0
