year,domestic_space,domestic_water,services_space,services_water,hdd
2008,13.7118,1.3607,3.3494,1.1514,0.0
2009,13.5024,1.3607,3.3494,1.0467,0.0
2010,14.8631,1.4654,3.6635,1.1514,0.0
2011,15.9098,2.1981,3.8728,1.1514,0.0
2012,15.8052,1.9887,3.7681,1.1514,0.0
2013,15.0725,1.8841,3.5588,1.1514,0.0
