year,domestic_space,domestic_water,services_space,services_water,hdd
2008,37.2625,3.5588,7.5362,3.0354,0.0
2009,33.7037,3.3494,7.0129,3.0354,0.0
2010,31.2963,3.2448,5.6522,2.5121,0.0
2011,39.9839,3.7681,7.1176,2.4074,0.0
2012,34.5411,3.8728,7.2222,2.5121,0.0
2013,22.6087,3.1401,6.3849,2.4074,0.0
