year,domestic_space,domestic_water,services_space,services_water,hdd
2008,7.1176,1.9887,2.4074,0.5233,0.0
2009,7.9549,2.4074,2.3027,0.5233,0.0
2010,8.8970,2.6168,2.5121,0.5233,0.0
2011,8.3736,2.5121,2.3027,0.5233,0.0
2012,8.0596,2.5121,1.7794,0.5233,0.0
2013,7.8502,2.5121,1.6747,0.5233,0.0
