year,domestic_space,domestic_water,services_space,services_water,hdd
2008,23.1321,5.1288,10.7810,1.3607,0.0
2009,22.8181,5.1288,8.8970,1.3607,0.0
2010,24.2834,4.9195,8.4783,1.2560,0.0
2011,19.1546,4.7102,7.0129,1.0467,0.0
2012,19.1546,4.6055,7.0129,1.0467,0.0
2013,19.8873,4.7102,6.8036,1.0467,0.0
