year,domestic_space,domestic_water,services_space,services_water,hdd
2008,31.8197,6.6989,11.7230,1.7794,0.0
2009,32.1337,6.5942,11.4090,1.7794,0.0
2010,37.0532,6.6989,11.1997,1.6747,0.0
2011,31.8197,6.6989,11.1997,1.5700,0.0
2012,31.7150,6.2802,11.0950,1.5700,0.0
2013,31.6103,6.3849,11.1997,1.5700,0.0
