year,domestic_space,domestic_water,services_space,services_water,hdd
2008,0.1047,0.1047,0.1047,0.1047,0.0
2009,0.1047,0.1047,0.0000,0.1047,0.0
2010,0.1047,0.2093,0.1047,0.2093,0.0
2011,0.1047,0.2093,0.1047,0.2093,0.0
2012,0.1047,0.2093,0.1047,0.2093,0.0
2013,0.1047,0.2093,0.1047,0.2093,0.0
