year,domestic_space,domestic_water,services_space,services_water,hdd
2008,39.1466,6.8036,23.7601,2.8261,0.0
2009,42.2867,7.3269,24.3881,2.8261,0.0
2010,49.5089,8.6876,28.5749,2.6168,0.0
2011,46.3688,7.6409,23.3414,2.3027,0.0
2012,48.6716,8.1643,24.2834,2.3027,0.0
2013,45.9501,7.7456,22.6087,2.3027,0.0
