year,domestic_space,domestic_water,services_space,services_water,hdd
2008,36.3205,11.5137,17.3752,2.5121,0.0
2009,37.1578,11.1997,19.2593,2.4074,0.0
2010,39.7746,10.6763,20.4107,2.5121,0.0
2011,37.9952,10.0483,19.9920,2.5121,0.0
2012,35.7971,9.4203,17.2706,2.1981,0.0
2013,33.5991,8.8970,14.8631,1.8841,0.0
