year,domestic_space,domestic_water,services_space,services_water,hdd
2008,263.2451,28.3656,80.8052,17.6892,0.0
2009,268.0599,28.0516,79.8632,17.1659,0.0
2010,278.6315,30.4590,82.6893,17.1659,0.0
2011,244.5091,30.9823,75.1531,15.9098,0.0
2012,266.8038,30.8777,79.1305,16.1192,0.0
2013,267.0132,31.0870,79.0259,16.0145,0.0
