year,domestic_space,domestic_water,services_space,services_water,hdd
2008,5.9662,2.0934,2.8261,0.3140,0.0
2009,6.2802,2.0934,2.7214,0.3140,0.0
2010,6.8036,2.0934,2.6168,0.3140,0.0
2011,6.1755,1.8841,2.5121,0.3140,0.0
2012,6.3849,1.9887,2.6168,0.3140,0.0
2013,6.1755,1.8841,2.6168,0.3140,0.0
