year,domestic_space,domestic_water,services_space,services_water,hdd
2008,10.9903,1.5700,3.0354,0.7327,0.0
2009,11.3044,1.4654,3.0354,0.7327,0.0
2010,11.6184,1.5700,3.1401,0.7327,0.0
2011,10.8857,1.6747,2.8261,0.7327,0.0
2012,10.9903,1.6747,3.1401,0.7327,0.0
2013,10.5717,1.5700,2.9308,0.7327,0.0
