year,domestic_space,domestic_water,services_space,services_water,hdd
2008,79.2352,35.5878,27.5282,9.7343,0.0
2009,79.8632,36.6345,27.5282,9.8390,0.0
2010,87.3995,40.2980,29.4123,10.1530,0.0
2011,79.2352,33.3897,25.3301,10.5717,0.0
2012,79.0259,33.3897,28.2609,10.3623,0.0
2013,77.0371,31.6103,26.5862,9.9437,0.0
