year,domestic_space,domestic_water,services_space,services_water,hdd
2008,7.7456,5.7569,6.0709,2.0934,0.0
2009,7.8502,5.8615,6.5942,2.1981,0.0
2010,6.0709,6.4895,5.5475,1.8841,0.0
2011,5.8615,5.7569,4.9195,1.7794,0.0
2012,5.8615,5.5475,5.7569,1.7794,0.0
2013,5.8615,5.3382,5.5475,1.7794,0.0
