year,domestic_space,domestic_water,services_space,services_water,hdd
2008,1.0467,0.7327,0.7327,0.2093,0.0
2009,1.1514,0.7327,0.6280,0.2093,0.0
2010,0.9420,0.7327,0.7327,0.2093,0.0
2011,1.0467,0.7327,0.7327,0.2093,0.0
2012,1.0467,0.8374,0.6280,0.2093,0.0
2013,0.8374,0.7327,0.5233,0.2093,0.0
