year,domestic_space,domestic_water,services_space,services_water,hdd
2008,453.6398,86.2481,182.6250,24.9115,0.0
2009,433.2291,84.7827,160.0404,23.6554,0.0
2010,462.7461,90.3302,180.1371,26.1675,0.0
2011,381.9408,91.2722,151.6668,23.6554,0.0
2012,401.3048,92.2143,165.5879,24.5975,0.0
2013,429.6703,96.7151,179.0000,25.5395,0.0
