year,domestic_space,domestic_water,services_space,services_water,hdd
2008,14.3398,4.2915,13.2931,1.3607,0.0
2009,14.4445,4.2915,13.5024,1.3607,0.0
2010,15.9098,4.7102,15.1771,1.3607,0.0
2011,14.2351,4.2915,11.3044,1.0467,0.0
2012,13.1884,4.6055,10.2577,0.9420,0.0
2013,13.7118,4.7102,12.0370,1.0467,0.0
