type,source,sink,fraction
heating,ground,radiator,0.0144
heating,ground,floor,0.0016
heating,air,radiator,0.1296
heating,air,floor,0.0144
heating,water,radiator,0.0
heating,water,floor,0.0
heating,resistive,radiator,0.8217
heating,resistive,floor,0.0083
water,ground,water,0.144
water,air,water,0.016
water,water,water,0.0
water,resistive,water,0.83
